merchant_key,merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
29,MCH1054,Cheema Ltd,5311.0,Department Store,Private Limited,Pune,Maharashtra,2023-05-27,,Active,868.09
30,MCH1055,Dhingra-Kapoor,5311.0,Retail,Partnership,Bengaluru,Karnataka,2024-12-30,6794786904,Active,
31,MCH1056,Mital-Jhaveri,5311.0,Department Store,Partnership,Amritsar,Punjab,2023-09-10,6820698589,Active,5938.05
32,MCH1058,"Vyas,Virkanddatta",5311.0,Department Store,Partnership,Pune,Maharashtra,2023-01-20,XXXX0826,Active,1504.39
33,MCH1059,Prasad Ltd,4814.0,Telecom,Partnership,Hyderabad,Telangana,2023-03-18,XXXX9900,Active,4187.75
34,MCH1060,"Subramaniam, Rama And Contractor",4131.0,Transportation,Individual,Hyderabad,Telangana,2024-05-02,FXHY9362967598468,Active,480.0
35,MCH1063,"Samra, Sur And Venkataraman",5999.0,Miscellaneous,Private Limited,Chennai,Tamil Nadu,2023-06-13,2476053551,Active,1297.7
36,MCH1064,Nanda Ltd,5812.0,Restaurants & Food,Individual,Amritsar,Punjab,2025-09-09,,Active,1182.15
37,MCH1068,Mall-Palan,,Miscellaneous,Sole Proprietor,Jaipur,Rajasthan,2026-02-09,PKRN8629349498422,Active,663.04
38,MCH1070,Pandya Plc,5999.0,Miscellaneous,Private Limited,Chennai,Tamil Nadu,2024-09-03,,Active,1259.2
39,MCH1071,"Keer, Roy And Narayanan",,Medical,Sole Proprietor,Jaipur,Rajasthan,2025-04-17,4373595007,Active,619.21
40,MCH1072,Kalla-Khalsa,5812.0,Restaurants & Food,Private Limited,Mumbai,Maharashtra,2025-11-10,,Inactive,422.23
41,MCH1073,"Dasgupta,Rayanddara",,Medical,Partnership,Lucknow,Uttar Pradesh,2024-09-22,XXXX7293,Suspended,1002.63
42,MCH1075,Pingle-Mohan,5912.0,Medical,Sole Proprietor,Ludhiana,Punjab,2025-02-24,XXXX2118,Active,1639.19
43,MCH1077,Taneja-Nagar,5411.0,Grocery,Individual,Amritsar,Punjab,2026-02-27,QQWI6101172213624,Active,358.21
44,MCH1079,Sharaf And Sons,,Telecom,Sole Proprietor,Pune,Maharashtra,2023-10-20,,Active,455.39
45,MCH1081,Mistry Group,5812.0,Restaurants & Food,Private Limited,Mumbai,Maharashtra,2025-05-27,XXXX5682,Active,2299.04
46,MCH1082,Oommen Inc,7011.0,Hotel & Lodging,Partnership,Amritsar,Punjab,,6717543820,Active,833.19
47,MCH1083,Chaudhry-Bhat,5812.0,Restaurants & Food,Sole Proprietor,Jalandhar,Punjab,2025-04-30,DSMZ2555394666399,Inactive,730.39
48,MCH1084,Krishnamurthy Inc,5999.0,Miscellaneous,Private Limited,Jalandhar,Punjab,2025-04-21,7207827487,Active,4469.21
49,MCH1086,Agrawal-Sule,,Apparel & Fashion,Individual,Ludhiana,Punjab,2023-11-13,,Active,1355.59
50,MCH1087,"Mitter, Sawhney And Luthra",7011.0,Hotel & Lodging,Partnership,Chennai,Tamil Nadu,2025-04-19,,Suspended,2381.71
51,MCH1089,Randhawa-Barad,5942.0,Books & Stationery,Individual,Jalandhar,Punjab,2025-06-12,,Active,8714.78
52,MCH1093,"Dubey, Uppal And Bhatt",5812.0,Restaurants & Food,Private Limited,Pune,Maharashtra,2025-04-26,,Inactive,4005.67
53,MCH1095,Mander Group,4814.0,Telecom,Partnership,Kolkata,West Bengal,2023-01-30,XXXX5510,Active,1277.94
54,MCH1096,Subramanian-Prasad,5699.0,Apparel & Fashion,Individual,Hyderabad,Telangana,2025-03-07,,Active,8373.82
55,MCH1097,"Narayan, Datta And Chowdhury",5999.0,Miscellaneous,Individual,Lucknow,Uttar Pradesh,2025-09-05,,Active,343.8
56,MCH1098,"Raval, Yadav And Yogi",7011.0,Hotel & Lodging,Private Limited,Jaipur,Rajasthan,2023-12-01,XXXX3614,Active,181.0
57,MCH1100,Swamy Inc,5311.0,Retail,Partnership,Ludhiana,Punjab,2024-08-17,9084083237,Inactive,2008.22
58,MCH1101,Mangal Inc,5912.0,Medical,Individual,Chennai,Tamil Nadu,2023-06-19,XXXX7862,Active,2025.16
59,MCH1104,Chander Llc,4814.0,Telecom,Private Limited,Delhi,Delhi,2024-09-05,,Active,778.62
60,MCH1106,"Agrawal, Ganguly And Kalla",5411.0,Grocery,Private Limited,Delhi,Delhi,2024-08-25,ZKGK4764088745020,Active,1100.28
61,MCH1107,Sen-Das,,Telecom,Private Limited,Chennai,Tamil Nadu,2024-09-16,VDXT6754486241555,Active,
62,MCH1109,Solanki Ltd,5311.0,Department Store,Partnership,Mumbai,Maharashtra,2023-07-23,XXXX9384,Active,1262.18
63,MCH1115,Nadkarni Llc,4131.0,Transportation,Partnership,Jalandhar,Punjab,,,Active,6943.0
64,MCH1118,Chokshiinc,4131.0,Transportation,Partnership,Jalandhar,Punjab,2025-07-26,XXXX1304,Active,590.75
65,MCH1122,"Rana, Choudhury And Garde",5912.0,Medical,Partnership,Ludhiana,Punjab,2024-11-30,XXXX6047,Active,4792.92
66,MCH1124,"Hayre, Chana And Bhasin",5699.0,Apparel & Fashion,Sole Proprietor,Jaipur,Rajasthan,2024-05-10,,Active,843.01
67,MCH1126,"Nayak, Dhaliwal And Soman",5411.0,Grocery,Partnership,Jalandhar,Punjab,2026-12-02,,Active,564.83
68,MCH1128,Natt-Keer,5999.0,Miscellaneous,Sole Proprietor,Hyderabad,Telangana,2026-01-10,XXXX1918,Active,1028.32
69,MCH1130,Bhargava-Dara,5311.0,Department Store,Individual,Amritsar,Punjab,2025-06-14,8689036086,Active,2188.62
70,MCH1132,Cheema Inc,5999.0,Miscellaneous,Sole Proprietor,Ludhiana,Punjab,2023-09-10,3299217122,Active,
71,MCH1133,Shere Ltd,5912.0,Pharmacy,Partnership,Bengaluru,Karnataka,2025-06-10,,Active,11501.53
72,MCH1134,"Shenoy, Gokhale And Soman",5411.0,Grocery,Individual,Delhi,Delhi,2024-12-11,KZYJ5215017385369,Active,284.86
73,MCH1136,"Bahri, Kanda And Seth",5942.0,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2023-07-17,XXXX4885,Active,896.84
74,MCH1138,"Shan,Buchandtank",5942.0,Books & Stationery,Sole Proprietor,Bengaluru,Karnataka,2024-07-03,XXXX0724,Active,1369.64
75,MCH1142,"Master, Soni And Kapadia",4814.0,Telecom,Sole Proprietor,Chennai,Tamil Nadu,2024-10-06,4563871051,Active,252.13
76,MCH1143,Arya-Khanna,4131.0,Transportation,Sole Proprietor,Jalandhar,Punjab,2023-08-16,9953530102,Active,486.39
77,MCH1144,Morar-Rattan,5699.0,Apparel & Fashion,Sole Proprietor,Jaipur,Rajasthan,2025-01-20,,Active,1182.28
78,MCH1147,Dayal-Sabharwal,4814.0,Telecom,Individual,Kolkata,West Bengal,2023-11-23,XXXX2380,Inactive,939.97
79,MCH1148,Deep-Manda,4131.0,Transportation,Individual,Amritsar,Punjab,2025-06-15,,Active,3461.0
80,MCH1152,Raman-Choudhury,5411.0,Grocery,Partnership,Chennai,Tamil Nadu,2025-12-19,XXXX0685,Active,233.0
81,MCH1153,"Oommen, Sastry And Varty",5311.0,Department Store,Private Limited,Amritsar,Punjab,2024-06-17,XXXX3616,Active,873.51
82,MCH1154,Saran And Sons,5912.0,Pharmacy,Private Limited,Pune,Maharashtra,2023-12-26,TCTB2753134775657,Active,871.24
83,MCH1155,Sha Llc,4131.0,Transportation,Sole Proprietor,Amritsar,Punjab,2024-03-08,,Inactive,1753.08
84,MCH1159,De Ltd,5942.0,Books & Stationery,Individual,Kolkata,West Bengal,2025-12-05,,Active,1672.61
85,MCH1161,"Kuruvilla, Pall And Ravel",5411.0,Grocery,Private Limited,Jalandhar,Punjab,2023-12-29,,Active,549.82
86,MCH1162,"Anand, Mistry And Khare",5999.0,Miscellaneous,Private Limited,Delhi,Delhi,2025-02-12,XXXX2346,Active,1311.0
87,MCH1163,"Gour, Comar And Palan",4814.0,Telecom,Partnership,Ludhiana,Punjab,2025-10-25,BYWD2962302915002,Inactive,5449.73
88,MCH1164,Goda Plc,4131.0,Transportation,Partnership,Ludhiana,Punjab,2025-10-27,,Active,953.0
89,MCH1168,"Seshadri, Borah And Sachdeva",,Pharmacy,Individual,Pune,Maharashtra,2026-01-04,CWXA5916653675162,Active,4780.41
90,MCH1169,Dey-Gupta,5812.0,Restaurants & Food,Individual,Bengaluru,Karnataka,2023-03-17,295503532,Active,1427.7
91,MCH1170,"Wali, Bala And Sanghvi",5311.0,Department Store,Sole Proprietor,Bengaluru,Karnataka,2023-04-01,,Inactive,1109.65
92,MCH1171,Sampath-Shroff,5912.0,Medical,Partnership,Delhi,Delhi,2026-01-19,,Active,393.94
93,MCH1174,Mander-Kari,5411.0,Grocery,Partnership,Jalandhar,Punjab,2023-05-01,,Active,1013.97
94,MCH1177,"Mistry, Savant And Jha",4131.0,Transportation,Sole Proprietor,Amritsar,Punjab,2025-08-29,,Active,1663.99
95,MCH1179,Suresh-Chand,5942.0,Books & Stationery,Partnership,Chennai,Tamil Nadu,2025-11-19,,Active,
96,MCH1180,Sangha And Sons,5411.0,Grocery,Individual,Hyderabad,Telangana,2023-03-11,VUOK6265318074983,Active,993.08
97,MCH1183,Rajan Llc,5812.0,Restaurants & Food,Private Limited,Bengaluru,Karnataka,2023-02-02,,Active,1717.84
98,MCH1185,"Buch, Barad And Toor",5999.0,Miscellaneous,Partnership,Jalandhar,Punjab,2024-06-16,6769671490,Active,2955.34
99,MCH1188,M0Rar Ltd,5912.0,Pharmacy,Individual,Hyderabad,Telangana,2024-02-19,3674511273,Active,1156.7
100,MCH1189,"Rai, Doctor And Dar",5699.0,Apparel & Fashion,Sole Proprietor,Mumbai,Maharashtra,2024-11-13,8075572970,Active,1513.0
101,MCH1191,Raval Ltd,4814.0,Telecom,Individual,Kolkata,West Bengal,2023-01-19,,Inactive,1670.52
102,MCH1193,"Padmanabhan, Sekhon And Dhawan",5812.0,Restaurants & Food,Partnership,Lucknow,Uttar Pradesh,2025-01-16,,Active,1712.05
103,MCH1195,Cherian-Rana,4131.0,Transportation,Sole Proprietor,Jalandhar,Punjab,2025-09-09,,Active,364.17
104,MCH1197,"Gaba, Wadhwa And Sahni",5411.0,Grocery,Private Limited,Mumbai,Maharashtra,2024-08-01,8143796682,Active,488.96
105,MCH1199,Chad-Grewal,5812.0,Restaurants & Food,Sole Proprietor,Hyderabad,Telangana,2024-11-22,8520358001,Active,187.18
106,MCH1200,Vora And Sons,,Apparel & Fashion,Private Limited,Pune,Maharashtra,2023-02-08,MQRX2052089170910,Active,1072.0
107,MCH1202,Koshy-Borde,5311.0,Retail,Partnership,Ludhiana,Punjab,2023-04-27,QMOB6262370066772,Active,1998.99
108,MCH1204,Rana Group,5311.0,Department Store,Private Limited,Jaipur,Rajasthan,2025-05-24,,Active,733.33
109,MCH1207,"Pillai, Oak And Barman",5812.0,Restaurants & Food,Individual,Delhi,Delhi,2024-11-04,,Active,1280.08
110,MCH1210,"Dua, Buch And Kaul",,Books & Stationery,Private Limited,Mumbai,Maharashtra,,9379400368,Suspended,1903.0
111,MCH1211,"Munshi, Pai And Sibal",5311.0,Retail,Sole Proprietor,Delhi,Delhi,2023-01-04,NHYW6672789857023,Active,296.16
112,MCH1213,Ray Llc,5912.0,Pharmacy,Partnership,Pune,Maharashtra,2024-01-07,1805958295,Active,1556.0
113,MCH1214,Patel-Bhatti,5311.0,Department Store,Individual,Jalandhar,Punjab,2024-10-05,XXXX0366,Active,1829.91
114,MCH1216,Mani Ltd,5999.0,Miscellaneous,Sole Proprietor,Amritsar,Punjab,2025-04-05,WWHE9096090604868,Active,228.0
115,MCH1219,Buta1A Ltd,5699.0,Apparel & Fashion,Sole Proprietor,Lucknow,Uttar Pradesh,2025-10-23,1736220262,Active,1046.51
116,MCH1221,Nadig-Ray,5942.0,Books & Stationery,Individual,Delhi,Delhi,2024-12-22,7362492315,Active,618.0
117,MCH1222,Dass-Dugar,5411.0,Grocery,Sole Proprietor,Kolkata,West Bengal,2023-11-07,,Active,
118,MCH1224,Setty-Sami,5942.0,Books & Stationery,Individual,Kolkata,West Bengal,2023-09-02,7626814027,Active,609.48
119,MCH1226,"Apte, Pingle And Pal",,Hotel & Lodging,Private Limited,Hyderabad,Telangana,2024-01-03,,Active,2290.0
120,MCH1227,"Madan, More And Pal",5411.0,Grocery,Sole Proprietor,Hyderabad,Telangana,2025-12-08,3802553962,Active,1078.83
121,MCH1229,"Sen, Dewan And Tripathi",5942.0,Books & Stationery,Private Limited,Amritsar,Punjab,2025-02-19,JECT9983029325791,Active,2028.74
122,MCH1233,"Upadhyay, Lall And Kala",5942.0,Books & Stationery,Private Limited,Pune,Maharashtra,2024-07-19,,Active,
123,MCH1234,Comar-Kari,4131.0,Transportation,Sole Proprietor,Jalandhar,Punjab,,IUGP6821222732474,Active,1120.89
124,MCH1237,Agarwal-Kibe,7011.0,Hotel & Lodging,Partnership,Mumbai,Maharashtra,2023-03-30,CKEI2680343648784,Active,750.84
125,MCH1243,"Buch, Atwal And Roy",5912.0,Medical,Partnership,Ludhiana,Punjab,2025-06-12,,Active,1323.94
126,MCH1245,"Kumer, Varghese And Dhawan",7011.0,Pharmacy,Partnership,Pune,Maharashtra,2023-08-23,,Active,725.32
127,MCH1247,"Nayak, Lala And Pillai",5411.0,Grocery,Sole Proprietor,Bengaluru,Karnataka,2023-01-19,9109437765,Inactive,677.02
128,MCH1249,"Varkey, Kulkarni And More",5311.0,Retail,Sole Proprietor,Bengaluru,Karnataka,2023-07-26,,Active,1049.44
129,MCH1250,Bhardwaj-Wable,4131.0,Transportation,Private Limited,Pune,Maharashtra,2025-11-04,,Active,515.0
130,MCH1254,Pant-Muni,4131.0,Travel,Partnership,Delhi,Delhi,2023-10-21,,Active,781.27
131,MCH1255,"Bose, Memon And Luthra",5942.0,Books & Stationery,Partnership,Pune,Maharashtra,2023-05-27,XXXX6249,Active,1129.38
132,MCH1256,Vala Inc,5912.0,Medical,Sole Proprietor,Kolkata,West Bengal,2025-01-17,,Suspended,1415.24
133,MCH1257,Varma-Maharaj,5942.0,Books & Stationery,Sole Proprietor,Kolkata,West Bengal,2023-04-15,VIAW9051693811302,Active,3059.27
134,MCH1259,"Wagle, Verma And Ramanathan",,Medical,Private Limited,Jaipur,Rajasthan,2025-12-08,,Active,548.2
135,MCH1260,Kothari-Nadkarni,5699.0,Apparel & Fashion,Private Limited,Lucknow,Uttar Pradesh,2026-01-15,6850024093,Active,2375.4
136,MCH1261,"Cheema, Savant And Bakshi",5311.0,Retail,Sole Proprietor,Ludhiana,Punjab,2024-06-03,EXGQ1328686965867,Inactive,
137,MCH1262,Lad And Sons,7011.0,Hotel & Lodging,Individual,Jalandhar,Punjab,2025-11-17,XXXX6412,Active,503.65
138,MCH1263,Memon-Choudhary,5912.0,Pharmacy,Private Limited,Hyderabad,Telangana,2025-11-27,,Active,1888.17
139,MCH1267,Master-Tiwari,4814.0,Telecom,Private Limited,Lucknow,Uttar Pradesh,,,Inactive,1213.17
140,MCH1268,Vyas Ltd,5311.0,Retail,Individual,Amritsar,Punjab,2023-06-28,,Active,
141,MCH1269,Shukla Plc,5699.0,Apparel & Fashion,Individual,Hyderabad,Telangana,2025-03-03,,Active,1758.28
142,MCH1270,Tiwari And Sons,5311.0,Department Store,Private Limited,Hyderabad,Telangana,2023-06-02,,Active,1107.02
143,MCH1272,Garg Inc,4131.0,Transportation,Partnership,Jaipur,Rajasthan,2023-05-28,7553237450,Active,549.87
144,MCH1275,Kata Group,7011.0,Hotel & Lodging,Partnership,Lucknow,Uttar Pradesh,2025-09-11,XXXX0284,Active,252.53
145,MCH1277,Bhatnagar-Borah,5812.0,Restaurants & Food,Individual,Kolkata,West Bengal,,4086473586,Active,3540.87
146,MCH1280,"Ben, Madan And Dey",5942.0,Books & Stationery,Private Limited,Lucknow,Uttar Pradesh,2025-06-13,,Active,1308.81
147,MCH1285,Hayer Plc,5912.0,Medical,Individual,Bengaluru,Karnataka,2023-09-24,,Active,436.7
148,MCH1288,"Jain, Loke And Zacharia",4131.0,Transportation,Sole Proprietor,Bengaluru,Karnataka,2023-07-17,XXXX2041,Active,915.81
149,MCH1292,Gera-Nayak,7011.0,Hotel & Lodging,Sole Proprietor,Chennai,Tamil Nadu,2023-09-25,,Active,267.0
150,MCH1293,"Kohli, Rajan And Nair",5699.0,Apparel & Fashion,Sole Proprietor,Jaipur,Rajasthan,2023-09-04,XXXX7079,Active,915.17
151,MCH1294,Rajagopalan Group,5912.0,Medical,Individual,Amritsar,Punjab,2024-08-29,XXXX1888,Active,539.82
152,MCH1296,Gaba-Rama,5912.0,Medical,Individual,Delhi,Delhi,2023-01-16,6728414996,Active,2547.8
153,MCH1297,Luthra And Sons,5411.0,Grocery,Private Limited,Delhi,Delhi,2023-06-12,5942366474,Active,381.86
154,MCH1298,"Raghavan,Reddyandsangha",5942.0,Books & Stationery,Sole Proprietor,Hyderabad,Telangana,2025-04-28,XXXX0353,Active,364.92
155,MCH1299,Mutti Plc,5699.0,Apparel & Fashion,Partnership,Jaipur,Rajasthan,2023-06-27,8421728078,Active,605.64
156,MCH1304,Sama Ltd,5912.0,Medical,Individual,Bengaluru,Karnataka,2024-02-27,9710613459,Active,4095.57
157,MCH1305,Ghose-Batta,4131.0,Transportation,Individual,Hyderabad,Telangana,2025-12-20,,Inactive,380.06
158,MCH1308,Subramaniam-Shankar,5912.0,Pharmacy,Partnership,Bengaluru,Karnataka,2024-12-28,RSHZ2134290298030,Inactive,2112.78
159,MCH1309,"Jhaveri, Dasgupta And Kata",5699.0,Apparel & Fashion,Individual,Mumbai,Maharashtra,2023-09-20,XXXX1715,Active,929.23
160,MCH1311,"Dugal, Munshi And Kunda",4814.0,Telecom,Individual,Jaipur,Rajasthan,2025-03-27,XXXX7230,Active,1605.92
161,MCH1314,"Pant, Mammen And Doctor",5699.0,Apparel & Fashion,Individual,Jaipur,Rajasthan,2023-11-12,,Active,1045.43
162,MCH1318,Gupta Llc,4814.0,Telecom,Private Limited,Jaipur,Rajasthan,,618978505,Active,
163,MCH1320,Babu-Khatri,5699.0,Apparel & Fashion,Individual,Kolkata,West Bengal,2023-11-24,XXXX8923,Active,
164,MCH1321,Borah-Dhaliwal,7011.0,Hotel & Lodging,Sole Proprietor,Amritsar,Punjab,2025-12-06,XXXX0908,Active,7973.89
165,MCH1323,Dhar And Sons,5942.0,Books & Stationery,Partnership,Amritsar,Punjab,,BGGB6995281283064,Active,
166,MCH1324,"Edwin, Savant And Tandon",7011.0,Hotel & Lodging,Partnership,Bengaluru,Karnataka,2026-01-26,,Active,1192.31
167,MCH1326,"Chaudhry, Agrawa1 And Sridhar",5942.0,Books & Stationery,Sole Proprietor,Bengaluru,Karnataka,2024-05-20,ZQNQ7613300121760,Active,177.58
168,MCH1327,Gandhiplc,5699.0,Apparel & Fashion,Sole Proprietor,Lucknow,Uttar Pradesh,2023-11-02,XXXX1458,Active,902.09
169,MCH1328,Buch And Sons,7011.0,Hotel & Lodging,Sole Proprietor,Chennai,Tamil Nadu,2025-03-28,JVTH6188797527471,Active,711.0
170,MCH1331,"Garg, Bobal And Jain",4131.0,Travel,Individual,Kolkata,West Bengal,2024-06-29,,Active,3720.61
171,MCH1333,Sastry Plc,4814.0,Telecom,Individual,Amritsar,Punjab,2025-09-18,DIOZ5944277163234,Inactive,1548.51
172,MCH1334,"Kalita, Sarraf And Bhardwaj",5999.0,Miscellaneous,Individual,Bengaluru,Karnataka,2025-09-28,RPOB8162410396498,Active,1780.83
173,MCH1335,"Wagle, Kamdar And Mallick",7011.0,Hotel & Lodging,Sole Proprietor,Mumbai,Maharashtra,2024-03-05,OQHA9321120180853,Suspended,398.0
174,MCH1336,Tandon-Pant,5311.0,Department Store,Sole Proprietor,Jaipur,Rajasthan,2025-09-04,EOFD1587956050833,Active,991.0
175,MCH1340,"Dash, Saxena And Kara",4131.0,Transportation,Private Limited,Hyderabad,Telangana,2024-03-04,,Inactive,4203.63
176,MCH1343,"Madan,Trivediandganguly",5411.0,Apparel & Fashion,Individual,Bengaluru,Karnataka,2025-10-15,QSCH7195613672769,Active,1927.76
177,MCH1345,Bhat Inc,5311.0,Department Store,Private Limited,Hyderabad,Telangana,2025-01-28,XXXX9759,Active,1702.79
178,MCH1347,D’Alia Group,7011.0,Hotel & Lodging,Private Limited,Chennai,Tamil Nadu,2023-07-02,XXXX4418,Active,1739.0
179,MCH1349,Bahri And Sons,5912.0,Pharmacy,Individual,Hyderabad,Telangana,2025-06-08,BGVV4182827632214,Active,2320.2
180,MCH1350,"Krishnamurthy, Dutt And Sura",4814.0,Telecom,Partnership,Mumbai,Maharashtra,2024-07-25,3860313878,Active,1360.18
181,MCH1352,"Bandi, Soman And Manne",5812.0,Restaurants & Food,Individual,Jalandhar,Punjab,2026-01-28,,Active,4146.0
182,MCH1353,Chada And Sons,4131.0,Transportation,Partnership,Jaipur,Rajasthan,2023-11-25,,Active,2641.0
183,MCH1358,"Chaudry, Baral And Modi",4131.0,Transportation,Individual,Ludhiana,Punjab,2025-06-07,3312553110,Active,2115.38
184,MCH1359,Palan-Minhas,,Apparel & Fashion,Individual,Chennai,Tamil Nadu,2024-08-24,,Active,1891.91
185,MCH1363,Rattan-Shere,7011.0,Hotel & Lodging,Sole Proprietor,Chennai,Tamil Nadu,2025-08-19,,Active,926.5
186,MCH1364,Kumar Llc,5942.0,Books & Stationery,Partnership,Jalandhar,Punjab,2023-04-15,UUOX3735339322838,Active,1017.95
187,MCH1365,Ahluwalia-Choudhary,5311.0,Retail,Private Limited,Ludhiana,Punjab,2023-10-03,XXXX5844,Active,4292.21
188,MCH1366,"Shah, Roy And Srinivasan",,Grocery,Sole Proprietor,Kolkata,West Bengal,2023-08-03,5320028837,Active,935.11
189,MCH1370,Wable Llc,4814.0,Telecom,Private Limited,Jalandhar,Punjab,2023-11-19,6802604838,Active,3898.88
190,MCH1375,"Sahota, Johal And Shanker",5411.0,Grocery,Individual,Jalandhar,Punjab,2025-03-02,PHOZ2706415438619,Suspended,1836.94
191,MCH1377,"Taneja, Din And Kaul",5812.0,Restaurants & Food,Sole Proprietor,Delhi,Delhi,2025-10-05,QWQZ7332733729369,Active,767.08
192,MCH1378,Patil-Deshmukh,5311.0,Department Store,Private Limited,Chennai,Tamil Nadu,2023-10-09,HYZE0588457086111,Active,387.99
193,MCH1379,Chokshi Ltd,5912.0,Medical,Individual,Chennai,Tamil Nadu,2024-01-23,XXXX4340,Active,2729.5
194,MCH1380,Mahal-Khare,5999.0,Miscellaneous,Private Limited,Mumbai,Maharashtra,2025-02-23,TLPQ4078335945068,Active,3004.0
195,MCH1383,Dubey Group,4131.0,Grocery,Individual,Hyderabad,Telangana,2023-09-03,JDGO5125225131187,Active,
196,MCH1384,Naidu-Bhatti,5812.0,Restaurants & Food,Individual,Ludhiana,Punjab,2024-04-03,,Active,3910.34
197,MCH1387,Handa-Talwar,4131.0,Travel,Sole Proprietor,Lucknow,Uttar Pradesh,2023-10-05,,Active,754.0
198,MCH1388,"Kala, Kunda And Pandit",5912.0,Medical,Sole Proprietor,Bengaluru,Karnataka,2025-07-22,PZDL0297294331143,Active,3155.43
199,MCH1389,Munshi-Behl,5411.0,Grocery,Individual,Pune,Maharashtra,2023-06-17,,Active,3913.0
200,MCH1391,"Kale, Shroff And Barad",7011.0,Hotel & Lodging,Individual,Kolkata,West Bengal,2025-10-31,,Suspended,2757.0
201,MCH1392,Johal-Gaba,5912.0,Medical,Private Limited,Pune,Maharashtra,2024-02-20,XXXX9354,Inactive,4352.7
202,MCH1393,Hegde-Bahri,5912.0,Medical,Partnership,Ludhiana,Punjab,2024-11-15,BAUM6641100955450,Active,6478.07
