merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
MCH2813,"Sha, Bhatia And Vig",,Department Store,Individual,Chennai,Tamil Nadu,2024-10-24,5399147177,Active,3821.16
MCH1375,Golla And Sons,5912,Medical,Partnership,Bengaluru,Karnataka,2023-01-08,,Active,503.66
MCH2074,D’Alia Inc,5699,Apparel & Fashion,Partnership,Jaipur,Rajasthan,2025-10-22,VRCT7941741947399,Active,1616.2
MCH1256,Vala Inc,5912,Medical,Sole Proprietor,Kolkata,West Bengal,2025-01-17,,Suspended,1415.24
MCH8440,"Chacko, Natarajan And Menon",5999,Miscellaneous,Individual,Mumbai,Maharashtra,2025-01-19,,Active,775.41
MCH3060,Deep-Tata,5311,Department Store,Individual,Amritsar,Punjab,2023-04-17,,Active,
MCH4025,Hegde-Sule,5311,Retail,Individual,Hyderabad,Telangana,,XXXX6804,Inactive,1108.29
MCH6970,Chopra-Loke,5311,Department Store,Partnership,Jaipur,Rajasthan,2025-02-13,,Active,564.18
MCH2850,Reddy-Kara,4131,Transportation,Private Limited,Jaipur,Rajasthan,2024-04-22,XXXX7186,Active,
MCH5117,"Parikh, Sengupta And Chander",7011,Hotel & Lodging,Partnership,Chennai,Tamil Nadu,2023-01-26,,Suspended,266.62
MCH6651,"Mahajan, Vig And Balakrishnan",5411,Grocery,Partnership,Delhi,Delhi,2023-02-17,ZZEW6214809734757,Active,1407.45
MCH6206,"Johal, Verma And Sane",5812,Restaurants & Food,Private Limited,Jalandhar,Punjab,2024-04-26,,Active,
MCH9755,"Mane, Dey And Nagy",7011,Hotel & Lodging,Individual,Lucknow,Uttar Pradesh,2023-05-09,,Active,2207.77
MCH3401,Chana Llc,5411,Grocery,Individual,Chennai,Tamil Nadu,,XXXX4048,Active,3703.23
MCH7698,Sachdev And Sons,5812,Restaurants & Food,Sole Proprietor,Amritsar,Punjab,2023-07-23,,Active,
MCH2085,Loke Inc,7011,Hotel & Lodging,Individual,Hyderabad,Telangana,2023-12-05,CQUN5447672400868,Suspended,
MCH1060,"Subramaniam, Rama And Contractor",4131,Transportation,Individual,Hyderabad,Telangana,2024-05-02,FXHY9362967598468,Active,480.0
MCH7876,"Deshpande, Nagar And Parsa",5812,Telecom,Individual,Jaipur,Rajasthan,2024-08-22,,Active,502.95
MCH9966,"Kara, Chanda And Hayre",4131,Transportation,Individual,Kolkata,West Bengal,2024-01-16,XXXX6108,Active,3566.37
MCH2710,"Ramanathan, Bandi And Edwin",5411,Grocery,Sole Proprietor,Delhi,Delhi,2024-11-07,9267399474,Active,5021.08
MCH2723,Purohit-Dani,,Restaurants & Food,Individual,Amritsar,Punjab,2024-04-16,XXXX6527,Active,1384.67
MCH6084,Gera-Patla,,Transportation,Sole Proprietor,Lucknow,Uttar Pradesh,2026-01-26,59005491,Active,3360.46
MCH1457,Shetty Group,5999,Miscellaneous,Individual,Jalandhar,Punjab,2025-07-11,7979475554,Active,1159.43
MCH7866,Bhattacharyya And Sons,5311,Department Store,Partnership,Delhi,Delhi,2025-10-31,QKIU3712061004002,Active,2522.0
MCH9528,Kibe-Memon,5699,Apparel & Fashion,Sole Proprietor,Delhi,Delhi,2025-12-07,XXXX9874,Active,5399.84
MCH3612,Vaidya-Arya,5311,Retail,Private Limited,Kolkata,West Bengal,2023-09-01,UOBK5661273202199,Active,695.7
MCH3971,Sura Plc,7011,Hotel & Lodging,Individual,Delhi,Delhi,2024-04-17,,Active,748.82
MCH6025,Rege-Bali,4131,Transportation,Individual,Bengaluru,Karnataka,2025-04-21,XXXX0320,Inactive,2516.42
MCH6507,Kadakia Plc,5812,Restaurants & Food,Partnership,Chennai,Tamil Nadu,2023-01-05,XXXX3350,Active,740.55
MCH8031,Chokshi Ltd,7011,Hotel & Lodging,Individual,Hyderabad,Telangana,2025-07-26,3288481391,Active,2110.06
MCH8431,Bala Group,4131,Transportation,Individual,Ludhiana,Punjab,2025-05-02,XXXX7030,Active,964.23
MCH9718,Mammen And Sons,5411,Grocery,Sole Proprietor,Jalandhar,Punjab,2023-06-20,3331553891,Active,678.94
MCH3058,Patla-Padmanabhan,5942,Books & Stationery,Individual,Pune,Maharashtra,2024-10-18,OBXD4944464643223,Active,974.77
MCH8327,Men0N Ltd,,Miscellaneous,Individual,Bengaluru,Karnataka,2023-06-18,,Inactive,1670.04
MCH9038,"Dara, Pai And Saxena",,Apparel & Fashion,Sole Proprietor,Ludhiana,Punjab,2024-04-18,739300438,Active,2740.86
MCH2412,Nadig Inc,5942,Books & Stationery,Individual,Hyderabad,Telangana,2024-12-08,XXXX9581,Active,144.12
MCH2904,Iyengar-Comar,5999,Miscellaneous,Private Limited,Delhi,Delhi,2026-01-05,XXXX7160,Active,1147.91
MCH5405,Balan-Sabharwal,5812,Restaurants & Food,Individual,Bengaluru,Karnataka,2023-04-07,,Active,2280.95
MCH1625,Handallc,5912,Medical,Private Limited,Ludhiana,Punjab,2024-07-27,,Inactive,4123.17
MCH3926,Master-Sarin,5999,Miscellaneous,Individual,Hyderabad,Telangana,2025-05-08,,Active,1913.5
MCH6979,Nadig Ltd,,Pharmacy,Sole Proprietor,Chennai,Tamil Nadu,2023-05-18,SYHI9438066539953,Inactive,640.32
MCH1842,Bedi-Vohra,5411,Grocery,Private Limited,Lucknow,Uttar Pradesh,,XXXX6666,Active,1241.96
MCH8130,"Kale, Kumer And Chand",,Department Store,Partnership,Ludhiana,Punjab,2026-02-05,GYEV9276514828192,Active,419.61
MCH1571,"Rao, Viswanathan And Joshi",4131,Transportation,Sole Proprietor,Chennai,Tamil Nadu,2023-08-03,,Active,866.2
MCH9626,Gu1Ati-Chhabra,4814,Telecom,Partnership,Lucknow,Uttar Pradesh,2025-02-21,,Active,880.0
MCH2099,"Tara, Date And Thakur",4131,Transportation,Sole Proprietor,Chennai,Tamil Nadu,2023-06-28,BFBY2666613604973,Active,1054.15
MCH1841,Kadakia-Rao,7011,Hotel & Lodging,Sole Proprietor,Kolkata,West Bengal,2025-01-07,7706295964,Active,532.17
MCH7901,Bala Group,5812,Restaurants & Food,Partnership,Jaipur,Rajasthan,2023-03-02,VXJE9106968913579,Active,
MCH8607,"Wali,Maneandthakur",5699,Apparel & Fashion,Individual,Delhi,Delhi,2023-10-15,XXXX4911,Active,2981.0
MCH5570,"Sahni, Bala And Sharma",5999,Miscellaneous,Individual,Delhi,Delhi,2025-11-28,,Suspended,1506.33
MCH5328,Dhaliwal Inc,5812,Restaurants & Food,Private Limited,Kolkata,West Bengal,2025-04-19,,Active,375.06
MCH2408,"Kumar, Din And Sule",5999,Miscellaneous,Sole Proprietor,Bengaluru,Karnataka,,,Active,
MCH9448,"Sant, Manda And Khurana",,Apparel & Fashion,Partnership,Jalandhar,Punjab,2023-08-10,XXXX3103,Inactive,522.0
MCH9463,Boase And Sons,5942,Books & Stationery,Private Limited,Amritsar,Punjab,2025-06-01,8867615299,Active,835.0
MCH5882,"Barad, Kara And Gokhale",5812,Telecom,Sole Proprietor,Chennai,Tamil Nadu,2024-09-25,8200004171,Inactive,626.5
MCH5072,Shroff-Sangha,5999,Miscellaneous,Private Limited,Jaipur,Rajasthan,2024-12-08,XXXX4443,Active,3955.29
MCH2817,Keer And Sons,5999,Miscellaneous,Private Limited,Ludhiana,Punjab,2025-05-19,XXXX7166,Inactive,2074.28
MCH7403,"Naik, Badami And Raj",5311,Department Store,Sole Proprietor,Pune,Maharashtra,,,Active,1191.42
MCH8984,Sharma Group,5812,Restaurants & Food,Private Limited,Ludhiana,Punjab,2023-06-21,,Active,590.58
MCH8915,Sur Ltd,5812,Restaurants & Food,Individual,Mumbai,Maharashtra,2025-08-04,2079428373,Inactive,665.18
MCH6109,Sampath Ltd,4814,Telecom,Individual,Ludhiana,Punjab,2026-01-15,6737069990,Active,399.08
MCH9193,Shroff Inc,5411,Grocery,Sole Proprietor,Jalandhar,Punjab,2023-02-10,,Active,
MCH7548,Kalla Llc,,Grocery,Individual,Bengaluru,Karnataka,2024-05-26,JVRD8475866858020,Active,3106.71
MCH7196,Kurian-Trivedi,4814,Telecom,Partnership,Jaipur,Rajasthan,2023-06-09,,Active,1000.33
MCH5182,"Kadakia, Raman And Badal",4131,Transportation,Sole Proprietor,Amritsar,Punjab,2023-07-15,5073008487,Inactive,932.0
MCH4839,Sura-Mall,5411,Transportation,Private Limited,Ludhiana,Punjab,2025-12-08,,Active,682.13
MCH4369,"Gupta,Maneandbhasin",5812,Restaurants & Food,Individual,Hyderabad,Telangana,2025-03-03,,Active,950.76
MCH3333,Dada Plc,5999,Miscellaneous,Private Limited,Mumbai,Maharashtra,2024-03-18,,Active,668.0
MCH9278,Pant Plc,5942,Books & Stationery,Partnership,Bengaluru,Karnataka,2024-06-25,MCZF8391507084286,Active,822.0
MCH6315,Prabhakar-Soman,5942,Books & Stationery,Partnership,Mumbai,Maharashtra,,XXXX3336,On Hold,341.33
MCH7305,Iyer-Nagi,5699,Apparel & Fashion,Individual,Mumbai,Maharashtra,2023-08-23,,Active,1967.89
MCH6024,Thakkar-Kunda,5411,Grocery,Sole Proprietor,Chennai,Tamil Nadu,2025-05-14,,Active,
MCH7912,Sarma-Arya,5699,Apparel & Fashion,Private Limited,Lucknow,Uttar Pradesh,2025-01-01,ZNNS3870382152945,Active,1318.64
MCH6660,N0Ri Gr0Up,4814,Telecom,Sole Proprietor,Chennai,Tamil Nadu,2023-05-26,XXXX4499,Active,3030.0
MCH8809,"Doshi, Ghose And Amble",5411,Grocery,Individual,Mumbai,Maharashtra,,,Active,3965.67
MCH7600,Panchal Ltd,5912,Pharmacy,Individual,Lucknow,Uttar Pradesh,2023-10-13,,Active,1148.2
MCH5498,"Gera, Narayan And Sankaran",5311,Department Store,Partnership,Kolkata,West Bengal,2025-11-10,8296349363,Active,849.49
MCH5923,"Banik, Yogi And Seth",4814,Telecom,Individual,Delhi,Delhi,,CKTY3945451387681,Inactive,378.2
MCH6450,"Goel, Madan And Gola",5942,Books & Stationery,Individual,Chennai,Tamil Nadu,2025-10-15,,Suspended,855.0
MCH6822,"Sankar, Deol And Goswami",4814,Telecom,Sole Proprietor,Jaipur,Rajasthan,2025-03-31,XXXX2270,Inactive,
MCH5995,Bassi Ltd,5812,Restaurants & Food,Private Limited,Lucknow,Uttar Pradesh,2024-02-01,XXXX5294,Active,2631.68
MCH5879,"Sridhar, Sani And Ma11",4814,Telecom,Individual,Hyderabad,Telangana,2025-12-30,XXXX4907,Active,
MCH4682,Chaudry Llc,4131,Transportation,Individual,Hyderabad,Telangana,2024-01-28,,Active,
