user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
USR 77711,  Warinder Solanki  ,MFDIC1823G,XXXX-XXXX-5406,15-Jul-87,Pune,Maharashtra,-81093,Gig Worker,06-04-25 14:45,Pending,HIGH
USR69726,Rudra Lal,CXBKD3190N,9.76E+11,809571887,Calcutta,West Bengal,17.7k,Student,30-Dec-24,Verified,low
USR 53544,DANIEL GOKHALE,ufleh5366c,,16-07-98,lucknow,Uttar Pradesh,32124,Self Employed,12-10-25,V,HIGH
usr57699,Advik Om,MXMQW-7893-W,XXXX-XXXX-1365,26-04-99,Lucknow,Uttar Pradesh,"Rs. 19,875",Freelancer,04-06-24,V,LOW
USR53382,Mekhala Golla,BOBCZ3795L,6.53E+11,06-02-67,Hyd,Telangana,13098,Retired,12-01-26,KYC_DONE,LOW
USR 26959,Ganga Pai,JXFNR 4730 M,1.49E+11,04-07-66,ASR,Punjab,"₹19,624",Retired,12-Feb-26,VERIFIED,Unknown
USR13068,Megha Chandra,AVJUN6708Q,2829-0979-8427,10-09-93 13:31,Kolkata,West Bengal,25378,Self Employed,02-18-2024,Verified,low
USR32767,Sanya Dalal,HBFFH5169P,5.84E+11,01-18-1964,New Delhi,Delhi,"Rs. 17,051",Gig Worker,11-10-24,KYC_DONE,High
USR86400,Qadim Nayak,AQHFS2686A,9452 8737 2343,06-09-78,Hyd,Telangana,"Rs. 19,485",Retired,06-02-26 4:09,VERIFIED,low
USR72012,LIAM VARKEY,cnivl5277x,XXXX-XXXX-0556,25-08-04,MUMBAI,Maharashtra,-23591,Salaried,08-09-25 15:25,Pending,Low
USR65078,ANAMIKA CHAUDHARY,eykup2541j,8.72E+11,09-01-87,JPR,Rajasthan,16714,Freelancer,10-11-24 16:26,Done,low
USR 37121,Bhavika Thaker,MKYUT 2802 M,15496732243,29-07-83,BLR,Karnataka,"INR 31,824",Self Employed,16-02-25,Verified,LOW
usr_64308,Vedant Lalla,,8439-3768-1323,13-02-90,Calcutta,West Bengal,10907,Retired,08-03-26,V,medium
USR13880,Krisha Borra,YWBSY7212H,,23-09-03,HYDERABAD,Telangana,"INR 21,188",Farmer,1719640264,Verified,LOW
USR56830,Ekapad Dalal,FPHDL6481K,7446-9847-1442,12-23-1960,jaipur,Rajasthan,22808,Business Owner,1733423310,Verified,HIGH
USR95322,Advik Sahota,QEHZG5598Z,7.39E+11,149330544,Calcutta,West Bengal,35085,Farmer,03-12-24,Verified,High
USR23760,Saksham Dave,XSGLB7836O,9.82E+11,20-10-03 16:41,lucknow,Uttar Pradesh,-28593,Gig Worker,07-04-24,KYC_DONE,medium
USR28092,JACK LANKA,VANEO 2162 B,9.95E+11,14-09-90,Dilli,Delhi,47900,Freelancer,12-27-2024,APPROVED,low
usr_41268,  Onkar Ratta  ,MTPRE0507U,95974642287,08-28-2006,Jalandar,Punjab,35166,Retired,08-09-24,IN_PROGRESS,LOW
USR61809,Arjun Chander,JAWRM6042P,4.33E+11,560746453,Lucknow,Uttar Pradesh,"Rs. 13,796",Freelancer,1753923895,VERIFIED,low
86464,Tanay Sinha,hcucz8229x,4466 8771 6426,29-12-85 21:02,LDH,Punjab,"₹12,686",Business Owner,05-01-26,V,MEDIUM
USR29929,Yamini Kade,BZKKN4437J,25396904187,20-02-78,Lucknow,Uttar Pradesh,-42360,Business Owner,09-16-2025,Under Review,LOW
USR 75086,Caleb Mammen,JVXFL4848V,5605 4506 7480,30-08-03,LDH,Punjab,47.6k,Farmer,04-11-25 21:28,P,Unknown
USR-78743,AtharvLall,GUHZF 2370 F,9828 5621 0452,04-22-1970,Jaipur,Rajasthan,"₹18,539",Self Employed,12-24-2024,Pending,LOW
USR59316,Prisha Chander,XHBKR5403M,5.35E+11,03-02-94,ludhiana,Punjab,13.3k,Unemployed,03-07-26,VERIFIED,LOW
USR90387,  Aarna Devi  ,TFWBR0265R,,02-Jul-88,JPR,Rajasthan,"INR 24,127",Business Owner,24-12-25,VERIFIED,Low
USR18776,Pushti Sha,OGVKP 1291 Y,,08-08-66,Hyd,Telangana,,Student,05-09-25,APPROVED,Low
USR13953,  Mugdha Thaker  ,GJIRE9459M,8.51E+11,11-Feb-97,amritsar,Punjab,23495,Self Employed,17-04-25,KYC_DONE,low
usr33108,Ekavir Bal,cinip4289d,8.66E+11,18-09-79 10:30,Bengaluru,Karnataka,-19266,Freelancer,03-02-24,KYC_DONE,Low
USR71267,noah wable,WVMOD 0360 T,4.98E+11,14-04-64 17:35,Bangalore,Karnataka,20388,Student,06-04-25,Done,Low
USR82470,Owen Nair,DPRST6843S,6455 7889 1743,30-07-72,pune,Maharashtra,35891,Farmer,25-06-25,Pending,MEDIUM
USR91477,Ojas Kumer,AXMWY 7954 C,9.31E+11,08-03-61 0:28,LDH,Punjab,"Rs. 28,545",Unemployed,25-Mar-26,VERIFIED,low
USR 86614,Vedika Lanka,GFSVQ7146K,4.79E+11,10-12-68 2:43,Pune,Maharashtra,"Rs. 37,338",Student,04-02-24,KYC_DONE,LOW
USR-23635,Tanmayi Sunder,DRXCQ2579G,7963 0636 6826,769826146,Lucknow,Uttar Pradesh,20317,Gig Worker,1723131014,VERIFIED,Medium
USR63684,Vasana Naidu,FYYYZ4211T,4139 2819 5585,04-11-74,jalandhar,Punjab,39085,Freelancer,30-11-25 20:37,APPROVED,low
USR40151,Lipika Pant,ZCYWL1620R,4596-0750-4259,12-11-04 14:21,jalandhar,Punjab,"₹13,296",Student,,Done,Low
USR60198,Nihal Sunder,GMKIH3940L,1672-2212-2123,04-06-92 11:00,Bengaluru,Karnataka,39252,Student,17-07-25,Verified,low
USR77081,  Ethan Dora  ,BZDWK4883M,3.94E+11,03-01-63 19:46,LKO,Uttar Pradesh,31508,Unemployed,22-10-24 10:15,VERIFIED,HIGH
USR84077,Neelima Sem,DKNSH2914F,8.10E+11,28-12-80,Ludhiana,Punjab,27515,Self Employed,11-06-25,KYC_DONE,medium
USR 59175,Ansh Virk,ambpc6856j,4006 8334 6413,27-03-72 20:01,MUMBAI,Maharashtra,16030,Student,02-13-2025,VERIFIED,medium
USR-64276,Upasna Subramanian,OPVCG1908W,24162763322,01-09-74,Lucknow,Uttar Pradesh,19115,Farmer,24-03-25,V,UNKNOWN
USR-64768,Warda Bhasin,DJJZS1635L,1.38E+11,-160078671,Mumbai,Maharashtra,32936,Self Employed,22-02-26,V,Unknown
USR16446,Yagnesh Roy,QPZXB2641,,09-19-1997,Chennai,Tamil Nadu,,Salaried,08-29-2025,Done,high
USR22470,Ubika Saraf,GEZXL-8319-T,3.86E+11,21-04-85,Bangalore,Karnataka,"Rs. 12,941",Student,27-08-24 7:40,Rejected,MEDIUM
USR78907,Garima Sangha,NTGKP6262I,XXXX-XXXX-3516,14-09-77 8:11,Amritsar,Punjab,"INR 14,527",Salaried,,PENDING,low
USR55616,Jasmit Nadkarni,EGCOO2505G,0738 3587 8098,04-02-93,Bengaluru,Karnataka,17065,Retired,22-08-25,Verified,LOW
USR11988,Udarsh Khalsa,RWL1L9015J,5370369333,08-Sep-73,Bangalore,Karnataka,57849,Self Employed,03-10-26,VERIFIED,Low
USR78571,GautamiSanghvi,PXLGX1420K,4.97E+11,18-Oct-77,Amritsar,Punjab,25062,Student,20-05-24 16:14,Verified,low
USR26915,AARNA DESHMUKH,VVYMS8300C,4.11E+11,1127679632,chennai,Tamil Nadu,-23328,Unemployed,09-06-24,Verified,LOW
USR71883,amara oak,OWXKX2821C,6.20E+11,09-09-95 15:52,bengaluru,Karnataka,"INR 22,743",Retired,30-04-25,REJECTED,Medium
USR67037,Lucky Konda,CRHRQ9787A,8924 6694 1914,26-12-91,lucknow,Uttar Pradesh,18960,Business Owner,28-08-24 9:57,APPROVED,low
USR28669,GEORGE DAR,qlrnp1618y,2178202165,01-04-78,Mumbay,Maharashtra,"INR 24,646",Self Employed,1707584602,Rejected,Medium
USR74087,Qarin Sengupta,TGCGN 4731 B,5.08E+11,26-01-87,ASR,Punjab,11942,Salaried,15-01-26 5:56,V,Medium
97475,BIMALA RAO,ZWIEO8960X,5.82E+11,08-04-77 12:26,Hyd,Telangana,,Farmer,26-03-24,Done,LOW
USR29005,Wazir Ghose,SVTQR6809M,4.81E+11,19-Dec-93,New Delhi,Delhi,"INR 14,463",Student,12-Mar-24,APPROVED,LOW
USR 78059,Vasana Palla,CALNW0586S,7.55E+11,27-04-91,MUMBAI,Maharashtra,29828,Farmer,23-11-24,Done,low
USR15644,Anita Balay,VZJON4073W,1702 0376 5815,12-05-94,BLR,Karnataka,Not Available,Unemployed,11-03-25,Verified,Medium
USR53776,Advaith Sur,ORRQC4341P,9.37E+11,16-08-80,Amritsar,Punjab,29723,Gig Worker,04-10-24,P,low
USR35738,Nachiket Saini,MPBCY 9061 Z,2927 1878 2869,19-06-82 2:07,LDH,Punjab,9263,Retired,24-04-25,REJECTED,LOW
USR30688,Pooja Koshy,yvqmb3903y,3.75E+11,,Jaipur,Rajasthan,55299,Salaried,12-05-25 21:33,APPROVED,LOW
43692,Kashvi Bal,XCBFC3495G,0224-5644-9188,82796753,HYDERABAD,Telangana,26181,Retired,30-05-24,V,Low
usr_13931,VRINDA SODHI,JAXKB7158R,2.32E+11,10-03-94 18:26,Jalandhar,Punjab,"INR 13,080",Salaried,,Done,HIGH
USR 16890,UnniPurohit,SRFPG 7183 S,1.29E+11,05-12-97,LKO,Uttar Pradesh,19516,Farmer,01-04-24 12:10,APPROVED,medium
USR60800,benjamin hayre,SKOEK2388A,XXXX-XXXX-6470,,jalandhar,Punjab,-30797,Farmer,23-03-24 5:13,Verified,MEDIUM
USR43778,Megha Saran,FBYVC9113B,2525-9504-2768,26-01-95 17:14,LDH,Punjab,27468,Student,11-Aug-24,V,MEDIUM
USR70695,Darsh Rana,HOHLD1406O,6634-7061-6081,13-05-86,bengaluru,Karnataka,"₹32,215",Business Owner,16-06-24,FAILED,Low
usr82121,Maanas Kumar,PHLMO0100D,3070-9323-8655,15-06-00,Mumbai,Maharashtra,"₹50,644",Student,19-Apr-24,V,Low
USR28535,Laban Sinha,RFMPF-5305-S,XXXX-XXXX-3078,28-11-98 15:44,Pune,Maharashtra,"₹23,001",Retired,31-12-24 23:15,Under Review,MEDIUM
USR61312,Manbir Kar,OYDNZ6406F,5451-2692-1501,03-19-2005,Hyderabad,Telangana,-43301,Farmer,04-Feb-25,REJECTED,LOW
usr17743,Sneha Palan,HXELE7376C,12024085465,22-Sep-86,kolkata,West Bengal,30964,Student,07-02-25,APPROVED,low
USR 75869,  Triya Sodhi  ,KUCXN4426K,5985 2349 7392,16-Sep-99,amritsar,Punjab,"₹17,400",Salaried,11-03-24,Under Review,MEDIUM
USR88971,Aahana Goda,KAPYK2586P,8.15E+11,19-08-63,amritsar,Punjab,8961,Student,06-03-25 4:52,APPROVED,Medium
USR25394,Urmi Dar,WDKKW7243D,,17-11-83,pune,Maharashtra,39353,Retired,03-23-2025,KYC_DONE,MEDIUM
USR-36110,Bhavya D0shi,ZZLBX3053J,7749-4636-1922,29-07-79,pune,Maharashtra,Not Available,Freelancer,15-11-25,V,low
USR28927,chandran nori,MIAZT7616U,,945611375,Hyd,Telangana,34414,Unemployed,11-29-2024,Verified,Medium
USR12524,Yauvani Deep,QGIWK2792H,2792 9245 2932,24-01-85,Pune,Maharashtra,"Rs. 34,793",Unemployed,28-03-24 12:45,IN_PROGRESS,medium
USR87061,Zayyan Parmar,OESTV5644M,4212-4913-5042,03-02-94,BLR,Karnataka,34016,Retired,01-15-2024,R,Low
usr_70121,Manan Kala,,4917 3489 3582,16-05-03 10:59,ASR,Punjab,12490,Gig Worker,04-01-25 13:18,KYC_DONE,UNKNOWN
USR43558,Bhavya Kala,FMZBB8469X,0416 1497 8824,29-Apr-05,kolkata,West Bengal,-26339,Student,25-02-26 18:03,V,UNKNOWN
usr_97255,Hardik Varty,IKVCL9739N,18969410775,07-09-85,Bengaluru,Karnataka,Not Available,Salaried,23-08-24 10:00,Under Review,LOW
USR41850,Anamika Jayaraman,ZWSDQ5958Z,3.67E+11,19-Nov-04,pune,Maharashtra,-22599,Unemployed,27-03-24 2:50,APPROVED,LOW
USR61425,Rajata Panchal,FDJQL-7637-C,2.52E+11,27-11-87,ASR,Punjab,25830,Farmer,02-26-2025,Done,low
USR11654,Shivansh Dhar,VJCFR9167X,9314952508,23-03-86,lucknow,Uttar Pradesh,19879,Business Owner,05-02-24,VERIFIED,low
USR60435,Manan Desai,CZDOZ-3023-Y,9332847770,14-11-71,lucknow,Uttar Pradesh,13.1k,Self Employed,20-05-25,PENDING,LOW
USR-69566,Pooja Sanghvi,KKXGH 7093 M,5.95E+11,,mumbai,Maharashtra,"Rs. 40,871",Gig Worker,30-01-24 20:55,VERIFIED,LOW
usr_97911,aarush hora,UJAKN-1892-R,8898-0010-6898,25-09-74,BLR,Karnataka,23895,Freelancer,09-17-2025,VERIFIED,LOW
USR96415,Aadi Batta,JYKPY8685U,8.01E+11,10-05-75,Bangalore,Karnataka,"₹16,142",Gig Worker,20-08-24,APPROVED,MEDIUM
USR41370,Lajita Mammen,TCFIS9755D,47045008750,19-05-69,Ludhiana,Punjab,"₹74,744",Farmer,04-06-24,VERIFIED,medium
USR46200,Bakhshi Sah0ta,WALTW7577C,2.01E+11,04-10-01,Hyderabad,Telangana,24694,Gig Worker,26-07-24,V,LOW
USR30125,Dakshesh Dhaliwal,AFYDX3604O,3.18E+12,05-Feb-93,JPR,Rajasthan,"₹22,236",Business Owner,,Rejected,LOW
usr51640,Hitesh Raj,UCIYS7654M,7526190276,27-12-97 18:30,Mumbai,Maharashtra,65510,Business Owner,07-May-25,R,low
USR26148,Tarak Butala,LSMZC5449O,5.95E+11,07-08-88,Bangalore,Karnataka,30461,Salaried,,V,HIGH
USR72127,  Turvi Grover  ,CQVNW6926I,1.93E+11,19-04-89 3:38,Jaipur,Rajasthan,"INR 15,633",Retired,03-08-24 0:38,VERIFIED,medium
USR96477,TANVEER NARULA,SDAVW9214Z,97914045328,15-07-72 16:27,Chennai,Tamil Nadu,14759,Retired,27-01-26,Reject,low
USR-18944,Mekhala Golla,UWTIE0098,8850 3677 7734,25-07-91 8:59,Madras,Tamil Nadu,"₹26,904",Farmer,,APPROVED,Low
usr38760,Lajita Dewan,IRKEM1603,6.05E+11,09-08-62,kolkata,West Bengal,9392,Salaried,22-03-25,Verified,LOW
USR-35147,  Krishna Deo  ,HWFFO1057B,5.18E+11,11-24-1973,LDH,Punjab,50039,Salaried,04-01-26,Verified,High
usr23153,Elijah Golla,RCL1Y8260J,XXXX-XXXX-4291,05-23-1997,Jalandar,Punjab,"Rs. 25,280",Salaried,19-Aug-24,FAILED,low
USR43985,Elijah Basu,OWYWO4172Z,XXXX-XXXX-4334,29-11-01 4:05,Jaipur,Rajasthan,,Farmer,19-08-25,VERIFIED,medium
usr13270,Gautam Joshi,KNUKD8690E,,02-02-61 4:46,Poona,Maharashtra,17781,Self Employed,,Done,MEDIUM
usr_87067,Ayaan Bhatt,IYPWZ2082B,73336789186,06-03-97 23:09,bengaluru,Karnataka,32.3k,Farmer,1734165094,KYC_DONE,medium
USR14736,Harini Keer,SQFFV1099G,9008-4521-3060,11-07-69,MUMBAI,Maharashtra,29346,Retired,,V,medium
USR26503,Ranbir Mannan,UCYSG5949W,4.46E+11,02-08-06,ASR,Punjab,9785,Farmer,1753449242,P,LOW
USR55516,Yutika Ravi,HCPGG 8914 B,9.20E+11,03-06-73 17:15,Kolkata,West Bengal,37564,Unemployed,10-30-2024,PENDING,LOW
usr45907,Hardik Ramesh,GUXKU9088P,6253 9431 9187,22-Jul-70,delhi,Delhi,,Gig Worker,16-08-25,VERIFIED,Medium
USR20548,Wridesh Joshi,TZSQX 5220 Z,31743351796,12-May-07,mumbai,Maharashtra,31338,Student,01-10-25,Verified,Low
USR37307,Balendra Verma,UOHEX6486E,XXXX-XXXX-5396,17-07-01 7:20,DELHI,Delhi,37243,Unemployed,28-07-25,Verified,MEDIUM
USR 63941,  Lopa Shanker  ,TIVNP2437G,4749 3829 2882,08-04-75 18:00,Jaipur,Rajasthan,18089,Student,12-07-25 11:33,Pending,MEDIUM
USR62335,0rinder Tiwari,kviyf7177s,XXXX-XXXX-5008,21-11-67 19:55,Poona,Maharashtra,15492,Student,08-07-24,VERIFIED,medium
USR82534,Ekalinga Deep,QMKMZ5656K,,11-01-91,BLR,Karnataka,"₹22,070",Student,22-04-25 21:24,Verified,low
USR28153,Janaki Korpal,AHFWQ6201Q,,06-16-1974,Mumbai,Maharashtra,"Rs. 11,531",Freelancer,1737026345,VERIFIED,LOW
USR-97134,Reva Vaidya,HBVQA7004Y,6537223345,05-10-64,LDH,Punjab,55126,Freelancer,01-07-25,Under Review,MEDIUM
usr31953,ekani kar,KRJBG3843A,3.17E+11,16-08-02,jaipur,Rajasthan,Not Available,Unemployed,1722895870,V,MEDIUM
USR18418,Vrishti Chaudry,QRINM1863X,1797 2382 4180,08-Jan-87,kolkata,West Bengal,56033,Student,04-12-25,Verified,HIGH
USR73856,Damini Atwal,0WYDK8338N,3904 1124 9547,07-May-80,Chennai,Tamil Nadu,36.1k,Unemployed,10-06-25,VERIFIED,medium
USR34047,Nirja Goyal,edjfv6786z,3542 8425 2681,37854888,Madras,Tamil Nadu,51334,Freelancer,21-04-25,APPROVED,High
USR11358,Ria Sampath,CBDMJ0910P,7604-0343-2642,11-10-03,ludhiana,Punjab,103450,Business Owner,,Verified,LOW
USR64107,Gauri Vora,YBWWC3453,8.70E+11,30-06-70,Poona,Maharashtra,12867,Salaried,23-01-25 2:49,Verified,low
usr35594,Indira Ramachandran,EGAVG3762P,,28-04-62 8:43,chennai,Tamil Nadu,19286,Farmer,19-08-24,APPROVED,Medium
USR30418,Akshay Sampath,WNKPD6528H,1319 0288 3486,23-01-65,LKO,Uttar Pradesh,17322,Unemployed,15-09-24 20:50,Verified,Low
USR54584,CHAMELI DUBEY,CZJQV 2137 R,4247-0274-2867,994588344,Mumbai,Maharashtra,22185,Self Employed,01-09-24,APPROVED,LOW
USR48110,Brinda Manda,RYYOT8872F,2826-3099-6872,03-17-1964,amritsar,Punjab,21983,Business Owner,,VERIFIED,HIGH
USR95700,deepa bhalla,RTWID-8017-S,4748 0382 9105,09-12-91,Amritsar,Punjab,33200,Business Owner,06-08-25 8:22,KYC_DONE,LOW
USR78337,Pranit Oza,NZBEB2190H,6181-5079-5338,02-Dec-88,lucknow,Uttar Pradesh,22457,Gig Worker,24-07-24,Verified,Medium
USR55461,UnnatiKeer,fqvdc8747o,3.74E+11,11-25-2001,Jalandhar,Punjab,28.6k,Business Owner,10-Jul-25,REJECTED,low
USR99445,Krisha Seshadri,HFMYY3894Z,7.70E+11,17-Sep-01,New Delhi,Delhi,48549,Business Owner,19-01-24,KYC_DONE,Medium
USR-26939,SamuelMitter,KIWOV8722C,6.33E+11,04-12-98,Amritsar,Punjab,24.1k,Retired,06-02-26,KYC_DONE,HIGH
usr65086,Shivansh Prasad,MRRMZ0743S,984809036,10-03-62 20:30,ludhiana,Punjab,"INR 20,739",Freelancer,06-07-24 3:48,Rejected,low
USR51330,Manya Bali,SKOUH9200Y,0199 5109 9623,10-30-1972,Pune,Maharashtra,"INR 30,214",Student,1762292944,Done,LOW
USR34172,  Faras Warrior  ,zwocq9001i,54598187074,10-05-01 15:54,Mumbay,Maharashtra,"Rs. 14,529",Self Employed,16-09-25,KYC_DONE,medium
usr35378,  Ishita Mane  ,LZRJS8644Y,,26-01-81 18:18,Jalandar,Punjab,,Retired,01-01-25,KYC_DONE,medium
USR28471,Umang Kumer,lbeye6919s,XXXX-XXXX-2199,13-02-91 5:37,jaipur,Rajasthan,"Rs. 13,774",Freelancer,11-11-25,Done,Medium
65406,Bhavini Solanki,JVEIG3097A,88850972945,11-08-60,Jaipur,Rajasthan,20271,Unemployed,,Under Review,low
usr16212,sanya sawhney,TBUDL4683R,2049-4975-1167,23-Jul-01,kolkata,West Bengal,"₹13,924",Freelancer,22-09-24 17:09,VERIFIED,medium
usr60904,Suhani Oza,WYWQI1618A,5.20E+11,21-03-96 15:32,LDH,Punjab,-64722,Self Employed,31-03-26,KYC_DONE,LOW
USR68308,Sim0n Ramanathan,LQESD-0778-U,7.56E+11,17-10-05,Delhi,Delhi,22653,Gig Worker,15-02-25,Verified,Medium
USR 73563,Unnati Kala,MFVPE2019P,5455534227,19-Jun-69,Mumbai,Maharashtra,24.1k,Freelancer,,IN_PROGRESS,LOW
USR70255,Ekani Dua,ACUZI3478D,,157879628,chennai,Tamil Nadu,"₹25,961",Freelancer,19-Mar-25,VERIFIED,medium
USR66657,  Shivansh Goda  ,TDJCU7352U,7.61E+11,10-Apr-72,jaipur,Rajasthan,"INR 27,055",Student,26-09-24 3:09,APPROVED,LOW
usr50077,Fiyaz Sunder,SGQUO5647,2.37E+11,11-05-62 3:54,Madras,Tamil Nadu,15682,Farmer,28-11-24 18:59,Pending,LOW
USR81075,Ishani Naidu,LOLHX7170K,2571 0479 0985,17-02-04,lucknow,Uttar Pradesh,40563,Unemployed,22-12-24 23:51,VERIFIED,HIGH
usr_93584,Neel Deo,AFBMT0794B,,08-21-1992,Mumbai,Maharashtra,"Rs. 46,356",Retired,1723220888,VERIFIED,LOW
USR88185,Vinaya Dora,KIYZN 4444 E,1952 3835 5149,12-13-1982,mumbai,Maharashtra,"INR 18,104",Farmer,02-Jul-24,VERIFIED,LOW
USR79161,Liam Goyal,LYIMT9308V,8.16E+11,07-Dec-01,lucknow,Uttar Pradesh,9335,Student,02-21-2026,IN_PROGRESS,unknown
USR50757,Barkha Parmer,UNJBD0770C,1806-6435-7027,11-11-67,Chennai,Tamil Nadu,21395,Self Employed,23-01-25,PENDING,low
USR10799,Indira Cheema,GCEYH8996T,0140 1454 1696,04-08-04,lucknow,Uttar Pradesh,27782,Unemployed,28-12-25,Pending,Medium
USR 88938,Jagat Kapoor,RCVDY9085U,6.91E+11,03-Feb-94,chennai,Tamil Nadu,"Rs. 50,341",Freelancer,1754257479,APPROVED,MEDIUM
USR 22437,Samarth Saraf,KLAWR-0922-Q,0462-4856-6958,24-01-78 6:46,amritsar,Punjab,-12976,Farmer,06-Jan-24,Verified,medium
USR18684,Lipika Balasubramanian,UADKZ7560A,,28-07-66,LDH,Punjab,16244,Business Owner,11-02-26 2:43,IN_PROGRESS,LOW
USR54714,Yochana Nagy,OOSCD5853V,8.21E+12,01-Mar-93,Chennai,Tamil Nadu,"INR 27,270",Unemployed,12-16-2024,APPROVED,MEDIUM
USR46227,Vyanjana Dewan,FLWTU6763C,1814-2143-7210,19-Feb-82,Jalandar,Punjab,29239,Freelancer,27-12-24 20:02,APPROVED,Low
USR 92736,Krish Ganesh,BCYTK-0743-V,7.31E+12,04-01-06,pune,Maharashtra,"INR 19,462",Gig Worker,,Verified,LOW
68243,Farhan Sarma,qdgqv8153t,8282630682,14-11-63,Calcutta,West Bengal,15953,Farmer,01-12-25 2:10,Verified,LOW
USR 54662,Kalpit Johal,WSIZM8377T,2.28E+12,1104931901,chennai,Tamil Nadu,69040,Gig Worker,,VERIFIED,low
USR49692,Pranav Ahuja,KNWTL7986M,3.66E+11,31-03-88,LKO,Uttar Pradesh,"₹78,295",Farmer,07-01-25,Done,High
78411,Rehaan Singhal,LVAXX6013A,6.52E+11,26-12-65 23:34,Jalandar,Punjab,40100,Salaried,02-Oct-25,Verified,high
USR45168,David Sachdeva,JKJJV1240S,41915466352,11-01-79 12:53,LKO,Uttar Pradesh,9179,Unemployed,03-04-24,V,LOW
USR57891,Timothy Doctor,dlbxf6631f,78337974416,02-10-66 9:25,lucknow,Uttar Pradesh,22369,Self Employed,11-05-25,V,low
USR33040,Gayathri Jani,OVLVS3825H,5866 8530 2431,1041546565,New Delhi,Delhi,"₹21,830",Student,1731793316,Done,Medium
USR45432,Yauvani Krishna,JSLID1691H,27372290104,,Poona,Maharashtra,44208,Freelancer,14-02-26,Under Review,low
USR88242,Warinder Keer,GRFUD 3392 U,XXXX-XXXX-0308,06-05-75,Kolkata,West Bengal,33405,Retired,10-11-24,APPROVED,Low
USR24490,  Chandran Rajagopal  ,WEERX9254V,7.41E+11,06-17-1990,jalandhar,Punjab,28953,Freelancer,14-11-25 1:38,KYC_DONE,Medium
USR71493,eta shukla,zxndj8595b,26817430613,10-05-01,Pune,Maharashtra,14758,Farmer,09-Jun-25,Rejected,Low
USR74942,Anamika Bora,CVTXW4518J,4.96E+11,24-05-80 6:20,Hyd,Telangana,,Retired,05-04-25,VERIFIED,Low
USR 52453,Tanveer Bora,SRYFE1748M,6374 1086 9152,,Kolkata,West Bengal,"₹15,729",Retired,01-10-26,Done,Medium
USR-72124,Triya Walia,NRPMD1578I,0098 5229 3674,18-Jun-95,Chennai,Tamil Nadu,12432,Retired,,VERIFIED,LOW
USR-72857,Onveer Sem,,1.56E+11,15-12-85 3:05,JPR,Rajasthan,,Self Employed,1760647598,VERIFIED,Low
USR83080,Ikshita Mutti,LYYKM1219X,5.50E+11,10-16-1979,Pune,Maharashtra,"Rs. 27,793",Business Owner,19-03-26 1:20,Under Review,high
USR89093,SACHI SODHI,FYONQ3813N,9.64E+11,26-05-65 20:35,delhi,Delhi,-14044,Gig Worker,1757945605,V,low
